question,answer
Background,"In 1950,Alan Turing's famous article ""Computing Machinery and Intelligence"" was published,[12]which proposed what is now called theTuring testas a criterion ofintelligence. This criterion depends on the ability of acomputer programto impersonate a human in areal-timewritten conversation with a human judge to the extent that the judge is unable to distinguish reliably—on the basis of the conversational content alone—between the program and a real human. The notoriety of Turing's proposed test stimulated great interest inJoseph Weizenbaum's programELIZA, published in 1966, which seemed to be able to fool users into believing that they were conversing with a real human. However Weizenbaum himself did not claim that ELIZA was genuinely intelligent, and the introduction to his paper presented it more as a debunking exercise:"
Background,"In artificial intelligence, machines are made to behave in wondrous ways, often sufficient to dazzle even the most experienced observer. But once a particular program is unmasked, once its inner workings are explained, its magic crumbles away; it stands revealed as a mere collection of procedures. The observer says to himself ""I could have written that"". With that thought, he moves the program in question from the shelf marked ""intelligent"", to that reserved for curios. The object of this paper is to cause just such a re-evaluation of the program about to be ""explained"". Few programs ever needed it more.[13]"
Background,"ELIZA's key method of operation (copied by chatbot designers ever since) involves the recognition of clue words or phrases in the input, and the output of the corresponding pre-prepared or pre-programmed responses that can move the conversation forward in an apparently meaningful way (e.g. by responding to any input that contains the word 'MOTHER' with 'TELL ME MORE ABOUT YOUR FAMILY').[13]Thus an illusion of understanding is generated, even though the processing involved has been merely superficial. ELIZA showed that such an illusion is surprisingly easy to generate because human judges are so ready to give the benefit of the doubt when conversational responses arecapable of being interpretedas ""intelligent""."
Background,"Interface designers have come to appreciate that humans' readiness to interpret computer output as genuinely conversational—even when it is actually based on rather simple pattern-matching—can be exploited for useful purposes. Most people prefer to engage with programs that are human-like, and this gives chatbot-style techniques a potentially useful role in interactive systems that need to elicit information from users, as long as that information is relatively straightforward and falls into predictable categories. Thus, for example, online help systems can usefully employ chatbot techniques to identify the area of help that users require, potentially providing a ""friendlier"" interface than a more formal search or menu system. This sort of usage holds the prospect of moving chatbot technology from Weizenbaum's ""shelf ... reserved for curios"" to that marked ""genuinely useful computational methods""."
Development,"Among the most notable early chatbots are ELIZA (1966) andPARRY(1972).[14][15][16][17]More recent notable programs includeA.L.I.C.E.,Jabberwackyand D.U.D.E (Agence Nationale de la RechercheandCNRS2006). While ELIZA and PARRY were used exclusively to simulate typed conversation, many chatbots now include other functional features, such as games andweb searchingabilities. In 1984, a book calledThe Policeman's Beard is Half Constructedwas published, allegedly written by the chatbotRacter(though the program as released would not have been capable of doing so).[18]"
Development,"From 1978[19]to some time after 1983,[20]the CYRUS project led byJanet Kolodnerconstructed a chatbot simulatingCyrus Vance(57thUnited States Secretary of State). It usedcase-based reasoning, and updated its database daily by parsing wire news fromUnited Press International. The program was unable to process the news items subsequent to the surprise resignation of Cyrus Vance in April 1980, and the team constructed another chatbot simulating his successor,Edmund Muskie.[21][20]"
Development,"One pertinent field of AI research isnatural-language processing. Usually,weak AIfields employ specialized software or programming languages created specifically for the narrow function required. For example, A.L.I.C.E. uses amarkup languagecalled AIML,[3]which is specific to its function as aconversational agent, and has since been adopted by various other developers of, so-called,Alicebots. Nevertheless, A.L.I.C.E. is still purely based onpattern matchingtechniques without any reasoning capabilities, the same technique ELIZA was using back in 1966. This is not strong AI, which would requiresapienceandlogical reasoningabilities."
Development,"Jabberwacky learns new responses and context based onreal-timeuser interactions, rather than being driven from a staticdatabase. Some more recent chatbots also combine real-time learning withevolutionary algorithmsthat optimize their ability to communicate based on each conversation held. Still, there is currently no general purpose conversational artificial intelligence, and some software developers focus on the practical aspect,information retrieval."
Development,"Chatbot competitions focus on the Turing test or more specific goals. Two such annual contests are theLoebner Prizeand The Chatterbox Challenge (the latter has been offline since 2015, however, materials can still be found from web archives).[22]"
Development,"Chatbots may useartificial neural networksas alanguage model. For example,generative pre-trained transformers(GPT), which use thetransformerarchitecture, have become common to build sophisticated chatbots. The ""pre-training"" in its name refers to the initial training process on a largetext corpus, which provides a solid foundation for the model to perform well on downstream tasks with limited amounts of task-specific data. An example of a GPT chatbot isChatGPT.[23]Despite criticism of its accuracy and tendency to “hallucinate”—that is, to confidently output false information and even cite non-existent sources—ChatGPT has gained attention for its detailed responses and historical knowledge. Another example is BioGPT, developed byMicrosoft, which focuses on answeringbiomedicalquestions.[24][25]In November 2023, Amazon announced a new chatbot, called Q, for people to use at work.[26]"
